Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
TLL 101,TLL 101.L,Türk Dili ve Edebiyatı I,FATMA DAMAK,Çarşamba 14:40 - 16:30
TLL 101,TLL 101.T,Türk Dili ve Edebiyatı I,GÜNEŞ SEZEN,Perşembe 12:40 - 14:30
TLL 101,TLL 101.U,Türk Dili ve Edebiyatı I,EGEM ATİK,Çarşamba 13:40 - 15:30
TLL 101,TLL 101.V,Türk Dili ve Edebiyatı I,EGEM ATİK,Salı 16:40 - 18:30
TLL 101,TLL 101.W,Türk Dili ve Edebiyatı I,FATMA DAMAK,Pazartesi 14:40 - 16:30
TLL 101,TLL 101.X,Türk Dili ve Edebiyatı I,EZGİ HAMZAÇEBİ,Salı 13:40 - 15:30
TLL 101,TLL 101.N,Türk Dili ve Edebiyatı I,MURAT NARCI,Pazartesi 16:40 - 18:30
TLL 101,TLL 101.AC,Türk Dili ve Edebiyatı I,ŞENAY ÇINAR,Perşembe 14:40 - 16:30
TLL 101,TLL 101.K,Türk Dili ve Edebiyatı I,ŞERİFE SEDA YÜCEKURT ÜNLÜ,Çarşamba 12:40 - 14:30
TLL 101,TLL 101.J,Türk Dili ve Edebiyatı I,ŞERİFE SEDA YÜCEKURT ÜNLÜ,Salı 08:40 - 10:30
TLL 101,TLL 101.I,Türk Dili ve Edebiyatı I,ŞERİFE SEDA YÜCEKURT ÜNLÜ,Cuma 16:40 - 18:30
TLL 101,TLL 101.H,Türk Dili ve Edebiyatı I,EGEM ATİK,Salı 13:40 - 15:30
TLL 101,TLL 101.G,Türk Dili ve Edebiyatı I,ŞERİFE SEDA YÜCEKURT ÜNLÜ,Cuma 09:40 - 11:30
TLL 101,TLL 101.F,Türk Dili ve Edebiyatı I,FATMA DAMAK,Salı 08:40 - 10:30
TLL 101,TLL 101.E,Türk Dili ve Edebiyatı I,FATMA DAMAK,Pazartesi 12:40 - 14:30
TLL 101,TLL 101.D,Türk Dili ve Edebiyatı I,YAĞMUR YILDIRIMAY,Çarşamba 16:40 - 18:30
TLL 101,TLL 101.C,Türk Dili ve Edebiyatı I,SENEM TİMUROĞLU,Cuma 09:40 - 11:30
TLL 101,TLL 101.B,Türk Dili ve Edebiyatı I,YAĞMUR YILDIRIMAY,Salı 08:40 - 10:30
TLL 101,TLL 101.Z,Türk Dili ve Edebiyatı I,ŞENAY ÇINAR,Pazartesi 12:40 - 14:30
TLL 101,TLL 101.M,Türk Dili ve Edebiyatı I,MURAT NARCI,Çarşamba 13:40 - 15:30
TLL 102,TLL 102.G,Türk Dili ve Edebiyatı II,ALİ SERDAR,Perşembe 14:40 - 16:30
TLL 102,TLL 102.A,Türk Dili ve Edebiyatı II,YAĞMUR YILDIRIMAY,Salı 16:40 - 18:30
